observed_ns,sequence,display_ns
2093463484504,65389,2093455664841
2093472503545,65390,2093472322285
2093489597992,65391,2093488987506
2093506176750,65392,2093505648876
2093522508563,65393,2093522309524
2093538996691,65394,2093538975302
2093556064693,65395,2093555636746
2093572806378,65396,2093572299467
2093589271191,65397,2093588961689
2093606067118,65398,2093605622485
2093622413467,65399,2093622283966
2093639382932,65400,2093638949114
2093655881393,65401,2093655610688
2093672444929,65402,2093672272317
2093689161003,65403,2093688935928
2093705755891,65404,2093705598631
2093722677337,65405,2093722258279
2093739168762,65406,2093738923001
2093755732575,65407,2093755585834
2093772494946,65408,2093772245018
2093789436781,65409,2093788910277
2093805852594,65410,2093805571888
2093822750928,65411,2093822235091
2093839305983,65412,2093838898684
2093855856185,65413,2093855559979
2093872712519,65414,2093872220609
2093889100554,65415,2093888885997
2093905695035,65416,2093905547126
2093922590517,65417,2093922207830
2093939441518,65418,2093938872644
2093955646256,65419,2093955534514
2093972718165,65420,2093972195106
2093989106533,65421,2093988860365
2094006037202,65422,2094005522328
2094022312995,65423,2094022187439
2094039349478,65424,2094038846716
2094055659513,65425,2094055508012
2094072529384,65426,2094072171585
2094089512997,65427,2094088840604
2094105859309,65428,2094105498770
2094122703495,65429,2094122160640
2094138993400,65430,2094138821047
2094156091699,65431,2094155484454
2094172563271,65432,2094172147935
2094189363549,65433,2094188815361
2094205672861,65434,2094205471471
2094222601455,65435,2094222140341
2094239352974,65436,2094238799563
2094256075604,65437,2094255456377
2094272788030,65438,2094272119396
2094289405992,65439,2094288785117
2094306260345,65440,2094305445636
2094322635491,65441,2094322106191
2094339344731,65442,2094338768857
2094356157139,65443,2094355431542
2094373212771,65444,2094372099449
2094389431305,65445,2094388756578
2094406535030,65446,2094405418207
2094422938009,65447,2094422086059
2094439857807,65448,2094438759114
2094456118304,65449,2094455409225
2094472781748,65450,2094472074280
2094488995856,65451,2094488730928
2094505469558,65452,2094505390687
2094522314855,65453,2094522055372
2094539047744,65454,2094538717242
2094555974486,65455,2094555377019
2094572266483,65456,2094572041371
2094588749723,65457,2094588702167
2094605851596,65458,2094605366018
2094622333001,65459,2094622027962
2094638899741,65460,2094638695055
2094655371110,65461,2094655352517
2094672420279,65462,2094672015350
2094689206298,65463,2094688676831
2094705673593,65464,2094705340146
2094722494223,65465,2094722003257
2094739087259,65466,2094738662979
2094755330904,65467,2094755327960
2094772186090,65468,2094771990219
2094788764701,65469,2094788649552
2094805473626,65470,2094805314811
2094822034755,65471,2094821978440
2094838960905,65472,2094838637699
2094855374921,65473,2094855302902
2094872425386,65474,2094871964383
2094889053108,65475,2094888624753
2094905591737,65476,2094905289512
2094922278736,65477,2094921951123
2094938687845,65478,2094938612382
2094955588550,65479,2094955276641
2094972101253,65480,2094971939178
2094989031902,65481,2094988599825
2095005454289,65482,2095005264510
2095022435884,65483,2095021927325
2095038910901,65484,2095038587380
2095055501770,65485,2095055251435
2095072382308,65486,2095071913842
2095088772806,65487,2095088574546
2095105299009,65488,2095105238175
2095122413067,65489,2095121901101
2095138746564,65490,2095138561545
2095155574084,65491,2095155224989
2095171910341,65492,2095171887100
2095188914435,65493,2095188547470
2095205728232,65494,2095205212951
2095222388806,65495,2095221875043
2095238713396,65496,2095238535284
2095255278710,65497,2095255199339
2095272300378,65498,2095271861950
2095288679339,65499,2095288521968
2095305562970,65500,2095305186356
2095321938857,65501,2095321855652
2095338922173,65502,2095338512763
2095355342930,65503,2095355181874
2095372341877,65504,2095371837929
2095388647652,65505,2095388498336
2095405730599,65506,2095405162928
2095422013041,65507,2095421831354
2095438971968,65508,2095438484539
2095455278558,65509,2095455165428
2095472151430,65510,2095471814483
2095488664188,65511,2095488476723
2095505647689,65512,2095505141779
2095522110447,65513,2095521801871
2095539005597,65514,2095538456982
2095555767375,65515,2095555133352
2095572540894,65516,2095571788629
2095589032763,65517,2095588447500
2095606116062,65518,2095605112221
2095622724876,65519,2095621775406
2095639039706,65520,2095638437980
2095656086931,65521,2095655096035
2095672545448,65522,2095671760517
2095689050632,65523,2095688423294
2095706083430,65524,2095705083201
2095722468558,65525,2095721746183
2095739007871,65526,2095738409571
2095755093497,65527,2095755069589
2095773125413,65528,2095771731608
2095788539812,65529,2095788393256
2095805571685,65530,2095805058681
2095821809645,65531,2095821717088
2095838577793,65532,2095838378995
2095855120533,65533,2095855045643
2095871803792,65534,2095871703458
2095888407662,65535,2095888368587
2095905429071,65536,2095905030902
2095921909347,65537,2095921691939
2095938862682,65538,2095938355475
2095955125346,65539,2095955017660
2095972207719,65540,2095971677419
2095988717903,65541,2095988343530
2096005106253,65542,2096005006826
2096022186403,65543,2096021665307
2096038358696,65544,2096038330122
2096055520495,65545,2096054992677
2096072215014,65546,2096071654381
2096088800254,65547,2096088318084
2096105271604,65548,2096104979825
2096122063938,65549,2096121639880
2096138672789,65550,2096138305157
2096155288696,65551,2096154967009
2096171951603,65552,2096171628009
2096188452769,65553,2096188292842
2096205334770,65554,2096204955453
2096221695786,65555,2096221615415
2096238816919,65556,2096238279693
2096255177953,65557,2096254942322
2096271687471,65558,2096271602155
2096288645417,65559,2096288266470
2096305318231,65560,2096304928821
2096321720174,65561,2096321589543
2096338298525,65562,2096338253599
2096355044618,65563,2096354916080
2096371975712,65564,2096371579820
2096388492507,65565,2096388243024
2096405030135,65566,2096404902060
2096421860859,65567,2096421564097
2096438700211,65568,2096438228060
2096455029394,65569,2096454890078
