# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 384  of event 'cpu-clock'
# Event count (approx.): 3878787840
#
# Overhead  Command          Shared Object             Symbol                                                               IPC   [IPC Coverage]
# ........  ...............  ........................  ...................................................................  ....................
#
    13.80%  EP147            libX11.so.6.3.0           [.] 0x0000000000029acc                                               -      -            
     3.65%  EP147            libX11.so.6.3.0           [.] 0x0000000000029ab8                                               -      -            
     3.65%  EP147            libX11.so.6.3.0           [.] 0x0000000000029abc                                               -      -            
     2.34%  EP147            libX11.so.6.3.0           [.] 0x0000000000029f60                                               -      -            
     2.08%  EP147            libX11.so.6.3.0           [.] 0x0000000000029ac8                                               -      -            
     2.08%  EP147            libX11.so.6.3.0           [.] 0x0000000000029f28                                               -      -            
     1.82%  EP147            EP147                     [.] 0x0000000002013dc4                                               -      -            
     1.82%  EP147            libX11.so.6.3.0           [.] XPutImage                                                        -      -            
     1.82%  EP147            libX11.so.6.3.0           [.] 0x00000000000298e0                                               -      -            
     1.82%  EP147            libX11.so.6.3.0           [.] 0x0000000000029910                                               -      -            
     1.82%  EP147            libX11.so.6.3.0           [.] 0x0000000000029a3c                                               -      -            
     1.56%  EP147            EP147                     [.] 0x00000000019feef8                                               -      -            
     1.30%  EP147            [kernel.kallsyms]         [k] __arch_copy_from_user                                            -      -            
     1.30%  EP147            libc-2.29.so              [.] 0x0000000000081184                                               -      -            
     1.04%  EP147            libX11.so.6.3.0           [.] 0x0000000000029908                                               -      -            
     1.04%  EP147            libX11.so.6.3.0           [.] 0x0000000000029930                                               -      -            
     1.04%  EP147            libX11.so.6.3.0           [.] 0x0000000000029a1c                                               -      -            
     1.04%  JUCE ALSA        [vdso]                    [.] __kernel_clock_gettime                                           -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
