# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 173  of event 'cpu-clock'
# Event count (approx.): 1747474730
#
# Overhead  Command          Shared Object        Symbol                           IPC   [IPC Coverage]
# ........  ...............  ...................  ...............................  ....................
#
     5.78%  EP147            ximage-fast24.so     [.] XPutImage                    -      -            
     5.20%  EP147            [kernel.kallsyms]    [k] __arch_copy_from_user        -      -            
     2.89%  EP147            EP147                [.] 0x00000000019feedc           -      -            
     1.73%  EP147            EP147                [.] 0x00000000019feef8           -      -            
     1.73%  EP147            EP147                [.] 0x0000000001fa5014           -      -            
     1.73%  EP147            EP147                [.] 0x0000000002013dc4           -      -            
     1.73%  EP147            libc-2.29.so         [.] 0x000000000007fdf8           -      -            
     1.16%  EP147            EP147                [.] 0x0000000001794a2c           -      -            
     1.16%  EP147            EP147                [.] 0x0000000001a023b8           -      -            
     1.16%  EP147            EP147                [.] 0x00000000020144d8           -      -            
     1.16%  EP147            EP147                [.] 0x00000000020f070c           -      -            
     1.16%  EP147            libc-2.29.so         [.] 0x000000000007fde8           -      -            
     1.16%  JUCE ALSA        EP147                [.] 0x000000000098c924           -      -            
     1.16%  JUCE ALSA        EP147                [.] 0x0000000001eec85c           -      -            
     1.16%  JUCE Timer       [kernel.kallsyms]    [k] futex_top_waiter             -      -            
     1.16%  SignalProxy      [kernel.kallsyms]    [k] futex_top_waiter             -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
